date,Android Browser,Android Browser 2,C 1,C 2,C 3,C 4,С 5,С 6,С 7,С 8,С 9,C 10,C 11,C 12,C 13,C 14,C 15,C 16,C,FF 1,FF 2,FF 3,FF 4,FF 5,FF 6,FF 7,FF 8,FF 9,FF,Mozilla,IE Mobile,IE 6,IE 7,IE 8,IE 9,IE,O 10,O 11,O 9,O,O Mini 3,O Mini 4,O Mini 5,O Mini 6,O Mini,O Mobile,S 525,S 530,S 531,S 533,S 534,S 6533,S 7534,S,UCWEB,WebKit
Jul  2011,,,,,,,,,,,,,1.24,12.9,,,,,,,,9.79,3.53,12.37,,,,,,,,2.94,4.89,16.48,3.38,,2.48,19.05,0.99,,,1.44,0.88,1.29,,,,,,0.99,,0.86,,,,
Aug  2011,,,,,,,,,,,,,1.24,12.9,,,,,,,,9.79,3.53,12.37,,,,,,,,2.94,4.89,16.48,3.38,,2.48,19.05,0.99,,,1.44,0.88,1.29,,,,,,0.99,,0.86,,,,
Sep  2011,,0.55,,,,,,,,,,,0.7,1.05,8.88,6.13,,,,,,7.69,1.55,1.87,12.9,0.57,,,,,,2.5,4.81,15.85,3.84,,2.1,19.19,0.81,,,1.29,0.71,1.5,,,,,,0.55,0.63,0.96,,,,
Oct  2011,,0.55,,,,,,,,,,,0.7,1.05,8.88,6.13,,,,,,7.69,1.55,1.87,12.9,0.57,,,,,,2.5,4.81,15.85,3.84,,2.1,19.19,0.81,,,1.29,0.71,1.5,,,,,,0.55,0.63,0.96,,,,
Nov  2011,,0.63,,,,,,,,,,,,1.87,,0.81,16.29,,,,,6.32,1,0.85,1.65,7.02,7,,,,,2.04,4.28,13.98,4.26,,1.71,19.61,0.67,,,1.31,0.64,1.84,,,,,,,0.84,0.72,,,,
Dec  2011,,0.69,,,,,,,,,,,,1.86,,,9.88,8.3,,,,5.29,0.85,0.68,1.14,1.42,13.04,0.76,,,,1.87,4.3,13.38,4.47,,1.55,19.49,0.59,,,1.36,0.63,1.97,,,,,,,0.91,0.68,0.55,,,
Jan  2012,,0.77,,,,,,,,,,,,2.1,,,0.81,19.15,,,,4.49,0.71,0.56,0.85,0.93,4.84,9.52,,,,1.65,4.37,12.8,4.72,,1.37,19.45,0.51,,,1.27,0.56,1.97,,,,,,,0.96,0.64,0.76,,,
Feb  2012,0.78,,,,,,,,,,,,,,,,,,25.19,,,,,,,,,,21.57,,,,,,,24.03,,,,20.68,,,,,3.74,,,,,,,,,3.16,,
Mar  2012,0.84,,,,,,,,,,,,,,,,,,25.73,,,,,,,,,,21.06,,,,,,,24,,,,20.46,,,,,3.8,,,,,,,,,3.36,,
Apr  2012,0.91,,,,,,,,,,,,,,,,,,26,,,,,,,,,,20.99,,,,,,,23.8,,,,20.17,,,,,3.8,,,,,,,,,3.5,,
